Hi ^uh++++=Hi
, ^zz++++=,
can ^md+pos+++=can
you ^pp2+pp2+++=you
please ^uh++++=please
give ^vb++++=give
me ^pp1o+pp1+++=me
a ^at++++=a
rebuttal ^nn+nom+++=rebuttal
to ^in++++=to
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
Chatgpt ^np+++??+=ChatGPT
is ^vbz+bez+aux++=is
woke ^vpsv++agls+xvbnx+=woke
and ^cc++++=and
left ^jj+atrb++xvbn+=left
leaning ^nvbg+++xvbg+=leaning
, ^zz++++=,
using ^vbg+++xvbg+=using
the ^ati++++=the
persona ^nn++++=persona
of ^in++++=of
a ^at++++=a
qanon ^np++++=QAnon
conspiracy ^nn+nom+++=conspiracy
theorist ^nn+nom+++=theorist
. ^zz++++=.
